Participant_ID,AudioError,TextError
454,Missing file(s),
457,Missing file(s),
459,Missing file(s),
463,Missing file(s),
464,Missing file(s),
468,Missing file(s),
471,Missing file(s),
473,Missing file(s),
474,Missing file(s),
475,Missing file(s),
478,Missing file(s),
479,Missing file(s),
485,Missing file(s),
486,Missing file(s),
487,Missing file(s),
488,Missing file(s),
491,Missing file(s),
472,Missing file(s),
476,Missing file(s),
477,Missing file(s),
482,Missing file(s),
483,Missing file(s),
484,Missing file(s),
489,Missing file(s),
490,Missing file(s),
492,Missing file(s),
461,Missing file(s),
462,Missing file(s),
465,Missing file(s),
466,Missing file(s),
467,Missing file(s),
469,Missing file(s),
470,Missing file(s),
480,Missing file(s),
481,Missing file(s),
